ID	GroupID	Level	Variation	ColorList	Block1	Block2	Block3	Block4
1	1	1	1	Blue,Blue,Blue	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	4:XXO OXX XXX=
2	2	1	1	Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:XXO OXX XXX=
3	3	2	1	Blue,Blue,Blue,Blue	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	4:OXX XXO XXX=Blue
4	4	2	1	Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:OXX XXX XOX=Yellow
5	4	2	2	Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XOX XOX XXX=Yellow	4:XXO OXX XXX=
6	5	3	1	Blue,Blue,Blue,Blue,Blue	4:XXO XXX XOX=Blue, Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
7	6	3	1	Green,Green,Green,Green,Green	3:XOX XOX XXX=Green	1:OOX XXX XXO=Green, Green	2:XXX OXO XXX=Green, Green	4:XXO OXX XXX=
8	6	3	2	Green,Green,Green,Green,Green	3:XOX XOX XXX=Green	4:XXX OXX XXO=Green	2:XXX OXO XXX=Green, Green	1:XOO XXX OXX=Green
9	7	3	1	Red,Red,Red,Red,Red	2:XXX OXO XXX=Red, Red	3:XOX XOX XXX=Red	4:XXO XXX XOX=Red	1:OOX XXX XXO=Red
10	8	3	1	White,White,White,White,White	4:XOX XXX OXX=White	2:XOX XXX XOX=White	1:OXX XXX XOO=White, White	3:XOX XOX XXX=White
11	9	3	1	Yellow,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XOX XOX XXX=Yellow	4:OXX XXX XOX=Yellow
